ID,Eye,Trial,Spatial_Freq(cpd),Noise_Seed,Matched_PD(mm)
1,Right,1,4.0,2110861089,2.799999999999999
1,Right,2,4.0,1692787785,3.199999999999999
1,Right,3,4.0,3904533581,3.2999999999999994
1,Right,4,4.0,524055478,3.1999999999999993
1,Right,5,4.0,2208267105,3.2999999999999994
1,Right,6,4.0,426139871,3.4999999999999996
1,Right,7,4.0,14177333,3.4999999999999996
1,Right,8,4.0,1467457867,3.099999999999999
1,Right,9,4.0,165525938,3.1999999999999993
1,Right,10,4.0,886360224,3.3999999999999995
1,Left,1,4.0,805181348,2.899999999999999
1,Left,2,4.0,1213269059,2.699999999999999
1,Left,3,4.0,3388753282,3.0000000000000018
1,Left,4,4.0,3153481066,2.9999999999999987
1,Left,5,4.0,3083345068,2.899999999999999
1,Left,6,4.0,75927443,2.699999999999999
1,Left,7,4.0,325353656,2.799999999999999
1,Left,8,4.0,2588312210,2.4999999999999987
1,Left,9,4.0,1691091030,2.3999999999999986
1,Left,10,4.0,2127135644,2.3999999999999986
