ID,Eye,Trial,Spatial_Freq(cpd),Noise_Seed,Matched_PD(mm)
11,Right,1,4.0,1723344552,4.1
11,Right,2,4.0,3358657621,4.1
11,Right,3,4.0,759112633,4.399999999999999
11,Right,4,4.0,3194817886,3.9999999999999996
11,Right,5,4.0,156556884,4.399999999999999
11,Right,6,4.0,1479316349,4.599999999999998
11,Right,7,4.0,1083996491,4.499999999999998
11,Right,8,4.0,2049500008,4.6999999999999975
11,Right,9,4.0,2691342768,4.499999999999998
11,Right,10,4.0,2506220728,4.399999999999999
11,Left,1,4.0,1883431163,3.4999999999999996
11,Left,2,4.0,1724309751,3.6999999999999993
11,Left,3,4.0,2987911710,3.0999999999999988
11,Left,4,4.0,1206171791,3.399999999999999
11,Left,5,4.0,3342807673,3.8999999999999995
11,Left,6,4.0,4090667815,3.7999999999999994
11,Left,7,4.0,824403201,3.8
11,Left,8,4.0,3976644396,3.4999999999999996
11,Left,9,4.0,2030819899,3.8999999999999995
11,Left,10,4.0,2463340154,3.5999999999999996
