ID,Eye,Trial,Spatial_Freq(cpd),Noise_Seed,Matched_PD(mm)
0,Right,1,4.0,1054540282,2.5000000000000013
0,Right,2,4.0,3213663277,3.399999999999999
0,Right,3,4.0,1778109072,2.699999999999999
0,Right,4,4.0,391606291,2.999999999999999
0,Right,5,4.0,3293616988,2.899999999999999
0,Right,6,4.0,1500403024,3.099999999999999
0,Right,7,4.0,1311594615,2.1999999999999984
0,Right,8,4.0,3329483919,2.7000000000000015
0,Right,9,4.0,2307571887,2.699999999999999
0,Right,10,4.0,3052894108,2.4999999999999987
0,Left,1,4.0,2388383355,2.4999999999999987
0,Left,2,4.0,130657540,3.099999999999999
0,Left,3,4.0,1575538307,2.999999999999999
0,Left,4,4.0,1760442468,3.099999999999999
0,Left,5,4.0,1054061224,2.4999999999999987
0,Left,6,4.0,2169994434,3.099999999999999
0,Left,7,4.0,109568639,3.099999999999999
0,Left,8,4.0,1163472014,2.999999999999999
0,Left,9,4.0,406281874,2.999999999999999
0,Left,10,4.0,2106951170,2.799999999999999
