ID,Eye,Trial,Spatial_Freq(cpd),Noise_Seed,Matched_PD(mm)
12,Right,1,4.0,2852413202,3.200000000000002
12,Right,2,4.0,2208120957,3.099999999999999
12,Right,3,4.0,891451140,2.899999999999999
12,Right,4,4.0,489505988,2.899999999999999
12,Right,5,4.0,1340511755,2.999999999999999
12,Right,6,4.0,2788921614,2.5999999999999988
12,Right,7,4.0,101681092,2.899999999999999
12,Right,8,4.0,1363861227,2.999999999999999
12,Right,9,4.0,3583352541,3.2999999999999994
12,Right,10,4.0,4132470283,3.2999999999999994
12,Left,1,4.0,846508647,2.9999999999999987
12,Left,2,4.0,1569478902,3.1999999999999993
12,Left,3,4.0,1739807448,3.2999999999999994
12,Left,4,4.0,3227875673,2.699999999999999
12,Left,5,4.0,1872639914,2.899999999999999
12,Left,6,4.0,3407629708,2.699999999999999
12,Left,7,4.0,2783065642,2.799999999999999
12,Left,8,4.0,149739863,2.699999999999999
12,Left,9,4.0,964781751,3.099999999999999
12,Left,10,4.0,1527612931,2.799999999999999
